Hair,Eye,Sex,Freq
Black,Blue,Female,9
Black,Blue,Male,11
Black,Brown,Female,36
Black,Brown,Male,32
Black,Green,Female,2
Black,Green,Male,3
Black,Hazel,Female,5
Black,Hazel,Male,10
Blond,Blue,Female,64
Blond,Blue,Male,30
Blond,Brown,Female,4
Blond,Brown,Male,3
Blond,Green,Female,8
Blond,Green,Male,8
Blond,Hazel,Female,5
Blond,Hazel,Male,5
Brown,Blue,Female,34
Brown,Blue,Male,50
Brown,Brown,Female,66
Brown,Brown,Male,53
Brown,Green,Female,14
Brown,Green,Male,15
Brown,Hazel,Female,29
Brown,Hazel,Male,25
Red,Blue,Female,7
Red,Blue,Male,10
Red,Brown,Female,16
Red,Brown,Male,10
Red,Green,Female,7
Red,Green,Male,7
Red,Hazel,Female,7
Red,Hazel,Male,7
